Sequence_Index	Protein_Name_First	Sequence_Length	Sequence_Hash	Protein_Count	Duplicate_Proteins
1	TOM5	51	63171BE0DA1064B6D800CAE7C7254B95A51B430A	1	
2	TOM7	57	AE1482E4052F2ACAA7402A7C09B4E03C50FB0628	1	
3	TOM22	154	2A0AE30AC6365ED51F9DDDBCA4EE8239B30DE772	3	TOM22b�Mitochondrial,TOM22c
4	TOM70	619	7334C6582FA327DB388E0D10C0163770AD441565	1	
5	NCU10034.1	214	C14E333623FDB93A1CD2E775D1A7A50DC552F868	1	
6	NC	362	608F2ACAB92B9C1ACD9EED6C53CE08882C695926	1	
7	NCU10036.1	719	353645CF03FB818873C2F195324022DA6879D21B	1	
8	NCU10037.1	385	2D1A2360B559EB646771F16F004A70F8D0D587B3	1	
9	NCU10038.1	955	5A613F373A769D76818717538A2BD7EC103D1E0A	1	
10	NCU10039.1	219	B4BD207F02CCA0AE64853F8B8F9BA5E0F89D3D17	3	NCU10039.1,NCU10039.2,NCU10039.1;NCU10039.2
11	NCU10040.1	92	9A238DA486720494910BEE67873043CC3C1404A7	1	
12	NCU10041.1	100	7D8A58295A971A0A025D1ECE54306EBBF7AF3BF8	1	
13	NCU10042.1	439	FA0EC58098E5016A121C89FCFDDB95A749C5CFF7	1	
14	gi|48425853|pdb|1V0O|B	288	679D56C69E6B6BAD4E83722EC5E89F952424F162	2	gi|48425852
15	IPI:IPI00177321.1|REFSEQ_XP:XP_168060	316	D1593DE34DEA2D2BB3544D5DC4207F8DD24039C9	1	
16	IPI:IPI00043226.5	154	2BE5B06C618D3EADBB1E463C5FB659469FB21023	1	
17	NCU10043.1	1292	FF8E8ADE83E44354FF3C064387676366E0F000D8	1	
