Sequence_Index	Protein_Name_First	Sequence_Length	Sequence_Hash	Protein_Count	Duplicate_Proteins
1	SO0001	146	0E573610B984F5C933CAAC77F81983030D9AEC53	1	
2	SO0002	516	D7FAA2B1634B3D5D2E4B1659D391A879F845F173	1	
3	SO0003	457	EF1580198BE4277FC094B24366B666DEE1BDD0E9	1	
4	SO0004	541	E64550A7CB7D076D6ADBD50AE4B742038012C0E8	1	
5	SO0005	84	A6517FC0AD21BB3C5C048B8926F95A6CB12B62E6	1	
6	SO0006	118	4E1CACF015A8F5238DB9E679BB82AF322F1E6A33	1	
7	SO0007	45	1F4684BAA18CBEF6566F9E6013C343A05A5FE194	1	
8	SO0008	460	B452FF06D31F2BF985011946139FBF748CC58070	1	
9	SO0009	366	85384950AD8DB88F6B7F79EC9B5832092A093DCD	1	
10	SO0010	360	1D126E5CEEF9BC568E41141496F8186099CB12D2	1	
11	SO0011	805	4D4D9BF2500F578D3EC9902FA14B2B2062757795	1	
12	SO0012	220	6E2B94CF22A893720EB0E66FEDA5534F5E7B9BE3	1	
13	SO0013	266	8AC1658EFB4A473B2C317D1F4A04BE217DC0AED4	1	
14	SO0014	688	3C14B16BE90E145F6F5555E758D55AC5FA85848C	1	
15	SO0015	301	5FB48A8F0EECF05D65E4E0BFFFDFA032029E3D2E	1	
16	SO0016	191	A6F210B7B8B1757CE650F62A49073CA3CCDA1CE6	1	
17	SO0017	1049	B4AD1DD09AB4551309F3BE3025414487F3C5B03B	1	
18	SO0018	145	50109BAEECE585DF19CC94453144B1641EA20024	1	
19	SO0019	81	87664D813A17B6E50E337B9E454A225166EF28FA	1	
20	SO0020	387	F92E1BFF21AF8E92D85E92821F076CFE3A9A1625	1	
21	SO0021	716	7DCCB178829B2F6970D303185264F47BBCFC3528	1	
22	SO0022	439	1AD0C39464F5163E384F7B5C3D81B48039F211F6	1	
23	SO0023	204	8AD5ABE196808F258554BFF19ADA0B80BCFFB9B0	1	
24	SO0024	486	0097D7483E3AF789C62BCDB7575A124FC32BE848	1	
25	SO0025	174	8A0F50C68B50599D37C84CEF9EDA1D46A4E2355B	1	
26	SO0026	102	09296D285C0D6818FF3C85445A3F4926F9AA8907	1	
27	SO0027	184	70AE83E318E20E3BFCBDEB39287DDCE4224885F3	1	
28	SO0028	480	813E75F8EA8067659C8E6AD9E582894ADE455B8C	1	
29	SO0029	469	50F0CB712B69F6739BE01FC179ABEC447E503C04	1	
30	SO0030	428	C617DD553D112579F66B3B637011ED6632946E4D	1	
31	SO0031	318	3DB7F490341DC3E56FA6F66CA308EABC465E6FD6	1	
32	SO0032	168	8AE8F6CC2D83817CAC014D562F39710231AD872C	1	
33	SO0033	378	63EB17F50F304240686820871D195D2B5BB54E8D	1	
34	SO0034	338	A5DB6E065DE01C35CC65DD0B17246FAD723472D1	1	
35	SO0035	158	A768986ECE488A8186FD8076D6888CF4A46FF430	1	
36	SO0036	188	46AD99D5748D907558E1C62ED34D573A255A6FC9	1	
37	SO0037	188	7FD260D8F0CA18B429564D3959CB5B65C9D705D8	1	
38	SO0038	302	DEB188BE0DE899FB3941D95A5ED89F9F11E1B4BC	1	
39	SO0039	145	A6B876836372A56E7673BB0F6392044CC9375A95	1	
40	SO0040	287	B719E237B8FAD7C2DA3390CBEA55AECD452CAA68	1	
41	SO0041	91	259AABC46ADDC3A6C6E85D0C0BE50CD9D57BEE6E	1	
42	SO0042	182	499DEEC15F6D5A7A308E2FD89779C1B1AC2879F6	1	
43	SO0043	38	71BA707C49041D8E73B9EBAF47A110FA99DDA5BB	1	
44	SO0044	83	F6B8B2DDE8D53C2F03D166BC5BAD6D9C1F8843EF	1	
45	SO0045	151	A05A110A9741942B470E9E23C49192C8EAA33460	1	
46	SO0046	251	86E8EA67B0DA4A37D2EB2DCCC07CF62C1937742A	1	
47	SO0047	402	F59C757AD85EE2126D78C887C4654452585B21AA	1	
48	SO0048	344	94E73DABC991DEC1513886CD6556DAD4CBDF5BDE	1	
49	SO0049	514	B64BB74444FD4212113913E55D13782268350BAF	1	
50	SO0050	144	3F452D7AAD16826803E646783E48F2AD6E938D22	1	
51	SO0051	30	B70BA5B9F1C84F05D92E89CF09DBD07CDC4B2D9F	1	
52	SO0052	157	91F67C757BAF086997AF91AAB1144B569045BA85	1	
53	SO0053	338	A51255F495F36B54F6259DA25E76137C017ADF75	1	
54	SO0054	396	C36FA8BAF2F007FBE0E73843B5A653EF0A26FB53	1	
55	SO0055	559	30923AA46A3ACA3550A23F837E5C3B79B1CE9107	1	
56	SO0056	252	190436D2288DAD9B4285D574D81F00B830357FAD	1	
57	SO0057	453	4E8785BCA6A75B7C8F5E9406056CD31963355DC1	1	
58	SO0058	232	040EB54202DC509675133A1FC26644D4D1E5B2D6	1	
59	SO0059	229	089FC72BFDF9527D7D5D2036513D617C0047063C	1	
60	SO0060	348	C3A74FFDDC7B3370A9B7B0BB85DC72364A5F2209	1	
61	SO0061	154	9CDC284C4B48B6872875B3F8E7DF2FD38118BBCB	1	
62	SO0062	128	A8201B7D0D8FF19467E0940B89323E0547CC0624	1	
63	SO0063	435	9BB43E0FEF95D680A3C52B066E4A4143D2F24BDA	1	
64	SO0064	36	8A0826C0182846B81408C3471E5C8EE7103E2BF8	1	
65	SO0065	177	5827CCF166F2D5CCBD5772186028317529D88308	1	
66	SO0066	1898	303D4DAA8FA8A52EBAB193CACC4887F8AB61325C	1	
67	SO0067	760	113CD3771D32E0898A3FE7CC1FD69803614FF2D0	1	
68	SO0068	81	349C5004FE68F58F6DA01D33A696E9616DE39F68	1	
69	SO0069	379	007C4985F68E0AFA2D336D00C87E864C1F894A42	1	
70	SO0070	244	597A8F368E74E4D3B1CA4D241F75755F6E0B8866	1	
71	SO0071	539	6428A74EF7BF4D3788472E6C28D0C6868E9D8482	1	
72	SO0072	123	71161EE18226B023B6056D8561113C05AF8CB8BE	1	
73	SO0073	287	621BDB0EE5A1D45D0EFCD9DE36C366E493610032	1	
74	SO0074	435	BFC84E9A3CA2135B0367A46F1C631CB14E8A19AE	1	
75	SO0075	568	CCFA54696BD954B6EAD749B149724ABDCE53460A	1	
76	SO0076	828	6F49A8B63B71FD40EA19E1951AAE1C26ADBDE5C5	1	
77	SO0077	138	076ADE2497C70CA35DED8F104260D3DC48EB35B6	1	
78	SO0078	267	92E020267B64AC3616B17DFC5252620F93E5EE9A	1	
79	SO0079	88	AF582D52B6A15898196645D1BAB4F3E6EDAE2910	1	
80	SO0080	142	D897FF1343BE253B4022D2BFAAFEBB6C9B2B09D5	1	
81	SO0081	109	FE34A5F0D1E64AB431194D46A62CEBD798F7B8A6	1	
82	SO0082	118	8526EA68D78FAAF1113EF3427423EB95DB12EBA0	1	
83	SO0083	128	5FCAD63A45284A043307742922C501836F7C5C6F	1	
84	SO0084	226	10F22D65E8DEEF5665F5B8F608CCCE48D5A9330E	1	
85	SO0085	140	79FD3C44BA15842DFCDE7A6B3AC02D2A47901255	1	
86	SO0086	33	75B4CA3610EC9A14A10C7868F2F2E25F587112D8	1	
87	SO0087	186	55964714B4018A565C7EE08246E5A8D0827965E1	1	
88	SO0088	199	9B05C0EAEE24643E24B4B91D69E4438B2CB37CB4	1	
89	SO0089	56	14A5B30FE82FF41C338967EC6D910363F72A6A2A	1	
90	SO0090	180	6EF7DFC0A4B81820705BAB14E90BB0029B7C4B0D	1	
91	SO0091	198	350CCEEB68DDA9763178642647D8CB665B97A866	1	
92	SO0092	236	356FAFDF2AFD387176B8974AE16873A94FF6CF8A	1	
93	SO0093	406	F65DB87147CF69FEAA7289ECFD938E525146DCB6	1	
94	SO0094	45	AA958BB25D822B392A15B9FE64AB3E44AB1CDA08	1	
95	SO0095	408	75ABB68E7322CEFF31AD9A751EFE91B6E8C93171	1	
96	SO0096	235	02A4E1D2FFF647844707A70FEA517F8732E609D7	1	
97	SO0097	556	F095DE014351408EF1B577C5D9183FCCF02593D3	1	
98	SO0098	513	EF94D3F1D1C5B8609F1A4E1D8B1269B33FDF4AB4	1	
99	SO0099	37	1CE8FF736A2E02752C5EDD4A48A63F7B3DC2EC22	1	
100	SO0100	52	AB3225B41E6FA7816632936E283DD1CABEC4C67A	1	
101	SO0102	304	774C9095BDD05546F7720AE216A7CA861189A976	1	
102	SO0103	213	90A1ECC8FFE4E2574F3D58E73EA366F5809228EB	1	
103	SO0104	302	F543585B6B4EEFC5B60C67806CC43440C9614B5C	1	
104	SO0105	473	7A7E497ABB2E198BE1888E8B9DAE1540F09D444E	1	
105	SO0106	673	AAB63264EF49436B41C0B507D892D4726E71F657	1	
106	SO0107	278	0C60C2355E917C0090A1A06EEA5096935CA41384	1	
107	SO0108	404	A7129C52FD48A8ECC2B0F06551AB0F03BE0F39C8	1	
108	SO0109	77	749E78F2368E839EBD78BDC5D05806D7B29A4331	1	
